"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 12 12:20:51 GMT 2025","Sun Jan 12 12:20:54 GMT 2025","2540","Edit page tests","","","","","should successfully edit",""
"passed","Sun Jan 12 12:20:58 GMT 2025","Sun Jan 12 12:20:58 GMT 2025","254","Home page tests","","","","","should open add more page",""
"passed","Sun Jan 12 12:21:04 GMT 2025","Sun Jan 12 12:21:04 GMT 2025","586","Login page tests is isolation","","","","","should fail to login",""
"passed","Sun Jan 12 12:21:08 GMT 2025","Sun Jan 12 12:21:10 GMT 2025","1587","Login page tests","","","","","should login successfully",""
"passed","Sun Jan 12 12:21:04 GMT 2025","Sun Jan 12 12:21:05 GMT 2025","150","Login page tests is isolation","","","","","should open register page",""
"passed","Sun Jan 12 12:20:57 GMT 2025","Sun Jan 12 12:20:58 GMT 2025","833","Home page tests","","","","","should display at least one user",""
"passed","Sun Jan 12 12:21:10 GMT 2025","Sun Jan 12 12:21:11 GMT 2025","881","Login page tests","","","","","should fail to login",""
"passed","Sun Jan 12 12:20:49 GMT 2025","Sun Jan 12 12:20:51 GMT 2025","2281","Edit page tests","","","","","should correctly autocomplete users data",""
"passed","Sun Jan 12 12:21:14 GMT 2025","Sun Jan 12 12:21:16 GMT 2025","2056","Register page tests","","","","","should register successfully",""
"passed","Sun Jan 12 12:21:02 GMT 2025","Sun Jan 12 12:21:04 GMT 2025","1206","Login page tests is isolation","","","","","should login successfully",""
"passed","Sun Jan 12 12:20:58 GMT 2025","Sun Jan 12 12:20:58 GMT 2025","342","Home page tests","","","","","should logout",""
